"","country","date","update","cases","new_cases","deaths","new_deaths","cases_per_million","new_cases_per_million","deaths_per_million","new_deaths_per_million","weeks_since_case100","weeks_since_death10"
"5202","Jamaica",1986-05-07,69,46428,850,801,23,15679.8,287.1,270.5,7.8,55,48
"5261","Japan",1986-05-07,69,628319,35055,10712,513,4967.9,277.2,84.7,4.1,63,60
"5300","Jordan",1986-05-07,69,718632,7259,9047,211,70433.4,711.5,886.7,20.7,58,44
"5336","Kazakhstan",1986-05-07,69,393639,18100,3369,35,20963.9,963.9,179.4,1.9,58,56
"5425","Kenya",1986-05-07,69,162666,3348,2865,141,3025.2,62.3,53.3,2.6,57,55
"5495","Kosovo",1986-05-07,69,105784,2146,2207,73,58768.9,1192.2,1226.1,40.6,57,55
"5541","Kuwait",1986-05-07,69,282981,8990,1628,65,66256.4,2104.9,381.2,15.2,59,54
"5625","Kyrgyzstan",1986-05-07,69,97663,2388,1643,39,14969.8,366,251.8,6,57,52
"5686","Lao People's Democratic Republic",1986-05-07,69,1205,448,0,0,165.6,61.6,0,0,2,0
"5731","Latvia",1986-05-07,69,122545,3987,2197,66,64976.1,2114,1164.9,35,59,54
"5764","Lebanon",1986-05-07,69,531834,5256,7436,158,77924.4,770.1,1089.5,23.2,59,57
"5858","Lesotho",1986-05-07,69,10761,30,319,3,5023.8,14,148.9,1.4,43,40
"5928","Liberia",1986-05-07,69,2114,15,85,0,418,3,16.8,0,54,53
"5982","Libya",1986-05-07,69,179697,2189,3063,34,26153,318.6,445.8,4.9,49,46
"6042","Liechtenstein",1986-05-07,69,2963,37,58,1,77973.7,973.7,1526.3,26.3,36,23
"6066","Lithuania",1986-05-07,69,255384,8115,4019,96,93822.2,2981.3,1476.5,35.3,58,56
"6135","Luxembourg",1986-05-07,69,68153,948,801,5,108870.6,1514.4,1279.6,8,59,58
"6215","Macao",1986-05-07,69,49,0,0,0,75.5,0,0,0,0,0
"6299","Madagascar",1986-05-07,69,38641,1627,701,58,1395.4,58.8,25.3,2.1,55,47
"6349","Mainland China",1986-05-07,69,90746,75,4636,0,63,0.1,3.2,0,68,68
"6412","Malawi",1986-05-07,69,34158,80,1152,4,1785.6,4.2,60.2,0.2,49,45
"6447","Malaysia",1986-05-07,69,432425,23712,1632,126,13360.5,732.6,50.4,3.9,60,58
"6509","Maldives",1986-05-07,69,34134,4299,82,9,63094.3,7946.4,151.6,16.6,54,44
"6597","Mali",1986-05-07,69,14059,201,497,13,694.2,9.9,24.5,0.6,55,55
"6626","Malta",1986-05-07,69,30432,140,417,4,68850.7,316.7,943.4,9,58,37
"6704","Marshall Islands",1986-05-07,69,4,0,0,0,67.8,0,0,0,0,0
"6749","Mauritania",1986-05-07,69,18613,211,456,1,4002.8,45.4,98.1,0.2,50,49
"6825","Mauritius",1986-05-07,69,1226,17,17,0,963.8,13.4,13.4,0,57,53
"6897","Mexico",1986-05-07,69,2361874,17119,218657,1750,18318.6,132.8,1695.9,13.6,59,58
"6905","Moldova, Republic of",1986-05-07,69,252413,1576,5929,117,62571.4,390.7,1469.8,29,58,56
"7020","Monaco",1986-05-07,69,2477,23,32,0,63512.8,589.7,820.5,0,45,14
"7055","Mongolia",1986-05-07,69,44016,6731,160,45,13427.7,2053.4,48.8,13.7,50,5
"7109","Montenegro",1986-05-07,69,98142,753,1533,38,156277.1,1199,2441.1,60.5,57,44
"7154","Morocco",1986-05-07,69,513314,2065,9057,34,13906.8,55.9,245.4,0.9,58,58
"7248","Mozambique",1986-05-07,69,70138,221,820,6,2244.1,7.1,26.2,0.2,51,41
"7270","MS Zaandam Cruise Ship",1986-05-07,69,9,0,2,0,NA,NA,NA,NA,0,0
"7374","Namibia",1986-05-07,69,49552,1201,682,40,19501,472.6,268.4,15.7,45,40
"7415","Nepal",1986-05-07,69,377603,54416,3579,300,12959.6,1867.6,122.8,10.3,52,48
"7474","Netherlands",1986-05-07,69,1572861,49888,17547,149,91792.3,2911.5,1024,8.7,61,60
"7548","New Zealand",1986-05-07,69,2634,21,26,0,546.2,4.4,5.4,0,58,55
"7604","Nicaragua",1986-05-07,69,6989,91,183,1,1054.9,13.7,27.6,0.2,50,50
"7638","Niger",1986-05-07,69,5310,82,192,1,219.4,3.4,7.9,0,57,56
"7702","Nigeria",1986-05-07,69,165340,230,2065,2,802.1,1.1,10,0,57,55
"7782","North Macedonia",1986-05-07,69,153694,1327,5067,212,73784.9,637.1,2432.5,101.8,58,57
"7833","Norway",1986-05-07,69,115818,2848,767,11,21364.7,525.4,141.5,2,61,58
"7899","Oman",1986-05-07,69,199344,6091,2083,73,39033.5,1192.7,407.9,14.3,58,54
"7975","Pakistan",1986-05-07,69,854240,28721,18797,840,3867.2,130,85.1,3.8,59,58
"8061","Panama",1986-05-07,69,366762,2186,6258,26,84997,506.6,1450.3,6,59,57
"8128","Papua New Guinea",1986-05-07,69,11630,633,121,14,1299.9,70.7,13.5,1.6,39,11
"8178","Paraguay",1986-05-07,69,294233,15156,6974,589,41249.5,2124.8,977.7,82.6,56,53
"8236","Peru",1986-05-07,69,1824457,25012,62976,1499,55333.5,758.6,1910,45.5,59,58
"8307","Philippines",1986-05-07,69,1087885,50425,18099,865,9927.7,460.2,165.2,7.9,59,59
"8357","Poland",1986-05-07,69,2824425,32283,69445,1943,74627.4,853,1834.9,51.3,59,58
"8442","Portugal",1986-05-07,69,838852,2359,16989,15,82264.6,231.3,1666.1,1.5,60,58
"8457","Qatar",1986-05-07,69,210070,4418,496,38,72915.7,1533.5,172.2,13.2,60,54
